riskScore,failedLoginCount,contentLength,headerCount,hasAuthHeader,isLocalIP,isPrivateIP,requestFrequency,isAuthEndpoint,isSensitiveEndpoint,label
6,0,670,13,0,1,1,7,1,0,0
3,1,710,10,1,1,1,3,1,0,0
12,1,342,11,1,0,0,2,0,0,0
14,0,660,15,1,1,1,4,1,0,0
10,0,1059,9,1,1,0,3,0,0,0
7,0,131,9,1,0,0,7,1,0,0
12,1,490,10,0,0,1,8,0,0,0
4,0,376,10,1,1,1,6,1,0,0
6,0,631,10,1,1,1,3,0,0,0
9,1,482,12,0,0,0,6,0,0,0
2,0,1191,12,0,0,1,2,1,0,0
6,0,983,13,0,1,0,7,0,0,0
10,0,313,12,1,1,1,7,1,0,0
10,1,475,14,1,1,1,4,1,0,0
7,1,843,14,1,0,0,8,0,0,0
4,1,312,8,1,1,0,4,0,0,0
3,1,178,15,1,0,1,7,1,0,0
7,1,727,13,1,0,1,4,1,0,0
7,1,703,15,0,0,1,5,1,0,0
2,1,881,9,0,1,1,7,0,0,0
5,0,1100,11,1,1,1,3,1,0,0
4,0,779,8,1,1,0,5,0,0,0
1,1,157,9,1,0,0,3,0,0,0
7,0,1149,9,1,1,0,5,1,0,0
11,0,980,13,1,0,0,3,1,0,0
13,1,546,10,0,0,1,7,0,0,0
5,0,165,10,0,0,0,1,0,0,0
1,0,1167,15,1,0,0,9,0,0,0
11,0,1111,8,0,0,0,9,0,0,0
4,0,326,10,1,0,1,5,1,0,0
0,0,873,9,1,1,0,9,0,0,0
11,1,778,10,1,0,1,6,1,0,0
9,1,700,12,0,1,0,5,1,0,0
5,1,478,10,0,0,1,3,1,0,0
12,0,808,9,1,1,0,8,0,0,0
11,1,406,15,0,1,1,4,0,0,0
8,0,878,13,0,1,0,3,1,0,0
0,0,603,8,1,1,1,6,1,0,0
10,0,367,11,0,0,1,8,1,0,0
10,0,107,10,0,0,0,9,1,0,0
14,1,607,14,1,0,1,6,0,0,0
9,1,575,14,1,0,1,5,1,0,0
11,0,263,15,0,1,0,2,0,0,0
11,1,584,9,1,1,0,2,0,0,0
14,0,1195,11,0,1,1,9,0,0,0
13,1,666,11,1,0,0,2,0,0,0
13,1,1004,12,1,1,0,2,1,0,0
14,0,658,11,1,0,0,3,0,0,0
13,1,337,14,1,1,1,3,1,0,0
2,0,653,13,0,1,1,4,0,0,0
11,1,927,9,1,1,1,7,1,0,0
